"timeMillisSpent","score"
192,"-400hard/-3500soft"
216,"-300hard/-3600soft"
560,"-300hard/-3500soft"
1029,"-300hard/-3200soft"
2185,"-300hard/-3050soft"
3244,"-300hard/-2900soft"
3331,"-300hard/-2800soft"
3354,"-300hard/-2750soft"
4883,"-250hard/-2750soft"
4914,"0hard/-3100soft"
4929,"0hard/-2850soft"
4943,"0hard/-2750soft"
5041,"0hard/-2600soft"
7916,"0hard/-2550soft"
14054,"0hard/-2400soft"
14353,"0hard/-2300soft"
22609,"0hard/-2200soft"
22647,"0hard/-2100soft"
22713,"0hard/-2050soft"
23684,"0hard/-1900soft"
23814,"0hard/-1750soft"
24198,"0hard/-1650soft"
24210,"0hard/-1600soft"
