"timeMillisSpent","score"
177,"-400hard/-3500soft"
189,"-300hard/-3600soft"
536,"0hard/-7300soft"
976,"0hard/-7250soft"
978,"0hard/-7100soft"
980,"0hard/-7050soft"
980,"0hard/-6950soft"
981,"0hard/-6900soft"
984,"0hard/-6850soft"
991,"0hard/-6700soft"
993,"0hard/-6650soft"
994,"0hard/-6500soft"
995,"0hard/-6400soft"
996,"0hard/-6300soft"
1009,"0hard/-6200soft"
1019,"0hard/-6150soft"
1031,"0hard/-6100soft"
1038,"0hard/-6050soft"
1093,"0hard/-6000soft"
1102,"0hard/-5950soft"
1102,"0hard/-5850soft"
1105,"0hard/-5800soft"
1106,"0hard/-5700soft"
1283,"0hard/-5600soft"
1284,"0hard/-5550soft"
1287,"0hard/-5450soft"
1288,"0hard/-5350soft"
1292,"0hard/-5300soft"
1294,"0hard/-5200soft"
1306,"0hard/-5150soft"
1306,"0hard/-5100soft"
1308,"0hard/-5050soft"
1374,"0hard/-5000soft"
1375,"0hard/-4900soft"
1377,"0hard/-4850soft"
1378,"0hard/-4750soft"
1379,"0hard/-4700soft"
1627,"0hard/-4600soft"
1629,"0hard/-4500soft"
1636,"0hard/-4450soft"
1637,"0hard/-4400soft"
1649,"0hard/-4350soft"
1649,"0hard/-4300soft"
1827,"0hard/-4250soft"
1944,"0hard/-4200soft"
1944,"0hard/-4150soft"
2052,"0hard/-4050soft"
2075,"0hard/-4000soft"
2078,"0hard/-3950soft"
2168,"0hard/-3850soft"
2176,"0hard/-3800soft"
2177,"0hard/-3750soft"
2187,"0hard/-3700soft"
2525,"0hard/-3650soft"
2548,"0hard/-3550soft"
2573,"0hard/-3500soft"
2644,"0hard/-3450soft"
2666,"0hard/-3400soft"
2871,"0hard/-3350soft"
2890,"0hard/-3300soft"
2891,"0hard/-3250soft"
3068,"0hard/-3200soft"
3070,"0hard/-3150soft"
3072,"0hard/-3100soft"
3074,"0hard/-3050soft"
3336,"0hard/-2950soft"
3351,"0hard/-2900soft"
3373,"0hard/-2750soft"
3803,"0hard/-2700soft"
3857,"0hard/-2600soft"
3862,"0hard/-2550soft"
4267,"0hard/-2450soft"
4523,"0hard/-2400soft"
4616,"0hard/-2350soft"
4904,"0hard/-2250soft"
5037,"0hard/-2200soft"
5429,"0hard/-2100soft"
5488,"0hard/-2050soft"
5751,"0hard/-2000soft"
6229,"0hard/-1950soft"
6232,"0hard/-1900soft"
6339,"0hard/-1800soft"
6932,"0hard/-1750soft"
6935,"0hard/-1650soft"
7964,"0hard/-1600soft"
