"timeMillisSpent","score"
49,"0hard/-3600soft"
101,"0hard/-3500soft"
127,"0hard/-3100soft"
185,"0hard/-2900soft"
339,"0hard/-2800soft"
365,"0hard/-2500soft"
1061,"0hard/-2400soft"
1483,"0hard/-1900soft"
1506,"0hard/-1750soft"
2009,"0hard/-1700soft"
2032,"0hard/-1650soft"
2055,"0hard/-1500soft"
2126,"0hard/-1450soft"
2408,"0hard/-1400soft"
3605,"0hard/-1200soft"
3830,"0hard/-1100soft"
3863,"0hard/-950soft"
4114,"0hard/-800soft"
