"timeMillisSpent","score"
3766,"0hard/-34750soft"
3798,"0hard/-34650soft"
3888,"0hard/-34550soft"
3903,"0hard/-34500soft"
3958,"0hard/-34400soft"
3958,"0hard/-34350soft"
3993,"0hard/-34300soft"
4013,"0hard/-34250soft"
4013,"0hard/-34100soft"
4106,"0hard/-34050soft"
4107,"0hard/-33750soft"
4219,"0hard/-33700soft"
4238,"0hard/-33550soft"
4259,"0hard/-33500soft"
4313,"0hard/-33450soft"
4316,"0hard/-33350soft"
4438,"0hard/-33300soft"
4441,"0hard/-33250soft"
4441,"0hard/-33150soft"
4457,"0hard/-33050soft"
4539,"0hard/-33000soft"
4539,"0hard/-32850soft"
4558,"0hard/-32800soft"
4692,"0hard/-32650soft"
4698,"0hard/-32500soft"
4736,"0hard/-32250soft"
4833,"0hard/-32150soft"
4865,"0hard/-32050soft"
4865,"0hard/-31950soft"
4950,"0hard/-31750soft"
5035,"0hard/-31550soft"
5087,"0hard/-31400soft"
5264,"0hard/-31350soft"
5360,"0hard/-31250soft"
5363,"0hard/-31200soft"
5419,"0hard/-31150soft"
5424,"0hard/-31100soft"
5466,"0hard/-31000soft"
5467,"0hard/-30950soft"
5524,"0hard/-30900soft"
5541,"0hard/-30750soft"
5562,"0hard/-30650soft"
5611,"0hard/-30550soft"
5648,"0hard/-30350soft"
5790,"0hard/-30300soft"
5814,"0hard/-30250soft"
5828,"0hard/-30150soft"
5855,"0hard/-30100soft"
5855,"0hard/-29950soft"
5926,"0hard/-29850soft"
6007,"0hard/-29600soft"
6049,"0hard/-29550soft"
6104,"0hard/-29500soft"
6104,"0hard/-29350soft"
6225,"0hard/-29300soft"
6250,"0hard/-29250soft"
6288,"0hard/-29000soft"
6457,"0hard/-28950soft"
6497,"0hard/-28900soft"
6519,"0hard/-28850soft"
6519,"0hard/-28800soft"
6562,"0hard/-28750soft"
6587,"0hard/-28700soft"
6607,"0hard/-28550soft"
6859,"0hard/-28500soft"
6860,"0hard/-28200soft"
6860,"0hard/-28150soft"
7044,"0hard/-27950soft"
7322,"0hard/-27900soft"
7454,"0hard/-27750soft"
7483,"0hard/-27700soft"
7696,"0hard/-27600soft"
7744,"0hard/-27550soft"
7765,"0hard/-27500soft"
7777,"0hard/-27450soft"
7777,"0hard/-27350soft"
7868,"0hard/-27250soft"
7904,"0hard/-26900soft"
8261,"0hard/-26750soft"
8381,"0hard/-26700soft"
8401,"0hard/-26600soft"
8468,"0hard/-26500soft"
8538,"0hard/-26400soft"
8560,"0hard/-26300soft"
8640,"0hard/-26250soft"
8646,"0hard/-26200soft"
8663,"0hard/-26150soft"
8684,"0hard/-26000soft"
8827,"0hard/-25800soft"
8845,"0hard/-25700soft"
8920,"0hard/-25600soft"
9058,"0hard/-25550soft"
9168,"0hard/-25400soft"
9207,"0hard/-25100soft"
9610,"0hard/-24950soft"
9744,"0hard/-24800soft"
9829,"0hard/-24700soft"
9943,"0hard/-24450soft"
10133,"0hard/-24350soft"
10133,"0hard/-24300soft"
10133,"0hard/-24200soft"
10307,"0hard/-24150soft"
10380,"0hard/-24000soft"
10512,"0hard/-23950soft"
10566,"0hard/-23850soft"
10566,"0hard/-23700soft"
10701,"0hard/-23650soft"
10727,"0hard/-23550soft"
11049,"0hard/-23500soft"
11360,"0hard/-23450soft"
11395,"0hard/-23400soft"
11432,"0hard/-23200soft"
11432,"0hard/-23100soft"
11775,"0hard/-23050soft"
11846,"0hard/-23000soft"
11877,"0hard/-22900soft"
11900,"0hard/-22850soft"
11919,"0hard/-22800soft"
11919,"0hard/-22650soft"
12327,"0hard/-22400soft"
12607,"0hard/-22350soft"
12607,"0hard/-22250soft"
12709,"0hard/-22150soft"
12809,"0hard/-22050soft"
12880,"0hard/-22000soft"
12880,"0hard/-21950soft"
13101,"0hard/-21900soft"
13703,"0hard/-21750soft"
13727,"0hard/-21600soft"
13939,"0hard/-21500soft"
14048,"0hard/-21400soft"
14200,"0hard/-21350soft"
14313,"0hard/-21300soft"
14346,"0hard/-21200soft"
14346,"0hard/-21150soft"
14426,"0hard/-20850soft"
15793,"0hard/-20800soft"
15865,"0hard/-20750soft"
15984,"0hard/-20700soft"
16073,"0hard/-20650soft"
16174,"0hard/-20450soft"
16316,"0hard/-20350soft"
16458,"0hard/-20300soft"
16557,"0hard/-20250soft"
16941,"0hard/-20200soft"
17085,"0hard/-20150soft"
17141,"0hard/-20100soft"
17144,"0hard/-20050soft"
17426,"0hard/-20000soft"
17427,"0hard/-19950soft"
17452,"0hard/-19900soft"
17975,"0hard/-19850soft"
18050,"0hard/-19800soft"
18130,"0hard/-19750soft"
18151,"0hard/-19700soft"
18179,"0hard/-19550soft"
18180,"0hard/-19300soft"
18530,"0hard/-19250soft"
18811,"0hard/-19150soft"
19673,"0hard/-19100soft"
19830,"0hard/-19050soft"
20090,"0hard/-19000soft"
20181,"0hard/-18900soft"
20265,"0hard/-18850soft"
20309,"0hard/-18750soft"
21043,"0hard/-18650soft"
21118,"0hard/-18550soft"
21353,"0hard/-18500soft"
21621,"0hard/-18450soft"
21622,"0hard/-18350soft"
21862,"0hard/-18200soft"
22144,"0hard/-18050soft"
22392,"0hard/-17850soft"
22978,"0hard/-17800soft"
23012,"0hard/-17500soft"
24126,"0hard/-17400soft"
25089,"0hard/-17350soft"
25149,"0hard/-17300soft"
25149,"0hard/-17200soft"
25352,"0hard/-17150soft"
25793,"0hard/-17100soft"
26286,"0hard/-17050soft"
26289,"0hard/-16950soft"
26661,"0hard/-16900soft"
26671,"0hard/-16850soft"
26918,"0hard/-16800soft"
27008,"0hard/-16750soft"
27465,"0hard/-16650soft"
27499,"0hard/-16550soft"
27881,"0hard/-16400soft"
27933,"0hard/-16350soft"
28166,"0hard/-16300soft"
29146,"0hard/-16200soft"
29628,"0hard/-16100soft"
30366,"0hard/-15950soft"
30614,"0hard/-15800soft"
30683,"0hard/-15750soft"
32023,"0hard/-15700soft"
32248,"0hard/-15550soft"
32403,"0hard/-15500soft"
32589,"0hard/-15400soft"
33069,"0hard/-15350soft"
33069,"0hard/-15250soft"
34196,"0hard/-15150soft"
34511,"0hard/-15100soft"
34516,"0hard/-15000soft"
34749,"0hard/-14850soft"
35678,"0hard/-14800soft"
35679,"0hard/-14750soft"
35679,"0hard/-14700soft"
35680,"0hard/-14600soft"
35680,"0hard/-14450soft"
37638,"0hard/-14400soft"
39626,"0hard/-14250soft"
40914,"0hard/-14100soft"
41027,"0hard/-14050soft"
41501,"0hard/-13950soft"
42140,"0hard/-13900soft"
42740,"0hard/-13850soft"
42742,"0hard/-13800soft"
42819,"0hard/-13700soft"
43686,"0hard/-13650soft"
43686,"0hard/-13550soft"
45140,"0hard/-13450soft"
46061,"0hard/-13350soft"
46508,"0hard/-13300soft"
47096,"0hard/-13250soft"
47221,"0hard/-13150soft"
47531,"0hard/-13100soft"
47888,"0hard/-13050soft"
48586,"0hard/-13000soft"
49034,"0hard/-12900soft"
49339,"0hard/-12850soft"
49947,"0hard/-12800soft"
49948,"0hard/-12750soft"
50040,"0hard/-12700soft"
51624,"0hard/-12650soft"
51849,"0hard/-12500soft"
52397,"0hard/-12450soft"
53023,"0hard/-12400soft"
53024,"0hard/-12250soft"
54268,"0hard/-12200soft"
54466,"0hard/-12150soft"
55431,"0hard/-12000soft"
56278,"0hard/-11750soft"
56944,"0hard/-11600soft"
57907,"0hard/-11500soft"
58714,"0hard/-11450soft"
59072,"0hard/-11400soft"
59147,"0hard/-11350soft"
59263,"0hard/-11300soft"
59679,"0hard/-11250soft"
60319,"0hard/-11200soft"
61239,"0hard/-11150soft"
61601,"0hard/-11050soft"
62351,"0hard/-11000soft"
63497,"0hard/-10900soft"
63898,"0hard/-10800soft"
63898,"0hard/-10700soft"
65550,"0hard/-10650soft"
65970,"0hard/-10600soft"
67231,"0hard/-10550soft"
68313,"0hard/-10500soft"
68630,"0hard/-10400soft"
69591,"0hard/-10350soft"
69994,"0hard/-10300soft"
70733,"0hard/-10250soft"
71423,"0hard/-10150soft"
71836,"0hard/-10050soft"
73311,"0hard/-9950soft"
73946,"0hard/-9900soft"
77409,"0hard/-9850soft"
78181,"0hard/-9800soft"
80362,"0hard/-9750soft"
81139,"0hard/-9650soft"
81331,"0hard/-9550soft"
82700,"0hard/-9450soft"
83782,"0hard/-9400soft"
84603,"0hard/-9350soft"
85710,"0hard/-9300soft"
86241,"0hard/-9250soft"
86737,"0hard/-9150soft"
89141,"0hard/-9100soft"
89359,"0hard/-9050soft"
91472,"0hard/-9000soft"
91568,"0hard/-8950soft"
92281,"0hard/-8900soft"
93273,"0hard/-8850soft"
94844,"0hard/-8750soft"
95912,"0hard/-8700soft"
96824,"0hard/-8600soft"
99800,"0hard/-8550soft"
100662,"0hard/-8500soft"
101304,"0hard/-8450soft"
102501,"0hard/-8400soft"
102536,"0hard/-8350soft"
103247,"0hard/-8250soft"
105027,"0hard/-8200soft"
105027,"0hard/-8150soft"
105607,"0hard/-8100soft"
107554,"0hard/-8000soft"
109865,"0hard/-7950soft"
110920,"0hard/-7750soft"
115298,"0hard/-7700soft"
116593,"0hard/-7650soft"
117087,"0hard/-7500soft"
126721,"0hard/-7450soft"
128989,"0hard/-7400soft"
129552,"0hard/-7300soft"
135927,"0hard/-7250soft"
137308,"0hard/-7200soft"
138108,"0hard/-7150soft"
143176,"0hard/-7100soft"
147924,"0hard/-7050soft"
149752,"0hard/-6950soft"
154450,"0hard/-6750soft"
162624,"0hard/-6700soft"
164850,"0hard/-6650soft"
168017,"0hard/-6600soft"
168476,"0hard/-6550soft"
176927,"0hard/-6500soft"
185127,"0hard/-6450soft"
187394,"0hard/-6400soft"
189095,"0hard/-6350soft"
190721,"0hard/-6300soft"
